food,serving,kcal,carbs_g,protein_g,fat_g
현미밥,1공기(200g),300,66,6,2
백미밥,1공기(200g),320,71,6,1
잡곡밥,1공기(200g),310,67,7,2
오트밀,건식 40g,150,27,5,3
고구마,중간 1개(150g),135,31,2,0
감자,중간 1개(150g),110,26,3,0
식빵,1장(35g),90,17,3,1
통밀빵,1장(40g),100,18,4,1
현미떡(인절미),2쪽(60g),140,31,3,1
현미국수,삶은 150g,210,45,7,2
메밀국수,삶은 150g,190,40,7,1
잡곡시리얼,30g,120,24,3,1
닭가슴살,구운 100g,165,0,31,4
달걀,큰 1개(60g),80,0,7,5
두부(부침용),100g,150,3,10,10
두부(연두부),150g,90,3,6,6
"대두(콩, 삶은)",100g,140,10,12,6
삼치구이,100g,200,0,20,13
고등어구이,100g,230,0,20,16
연어(구이),100g,200,0,20,13
돼지안심,구운 100g,180,0,29,6
소등심(살코기),구운 100g,220,0,26,13
오징어(데친),100g,90,1,18,1
새우(데친),100g,100,1,20,2
두유(무가당),200ml,80,6,7,3
그릭요거트(무가당),100g,59,3,10,0
코티지치즈,100g,98,3,11,4
배추김치,50g,10,2,1,0
깍두기,50g,15,3,1,0
열무김치,50g,10,2,1,0
미역줄기볶음,60g,45,6,2,2
시금치나물,60g,35,5,3,1
콩나물무침,60g,40,5,3,1
도라지무침,60g,50,8,2,1
우엉조림,60g,90,14,2,2
어묵볶음,60g,110,9,5,6
김구이,5장(5g),25,1,2,2
무생채,60g,30,7,1,0
된장찌개,1그릇(250g),120,8,9,5
김치찌개,1그릇(250g),180,8,12,12
순두부찌개,1그릇(300g),220,10,16,14
미역국(소고기),1그릇(250g),80,3,8,4
콩나물국,1그릇(250g),60,6,5,1
곰탕(사리X),1그릇(400g),250,2,20,17
비빔밥(보통),1그릇(550g),680,100,20,18
불고기(살코기),150g,360,10,28,22
닭갈비(양념),200g,480,20,30,28
잡채,1접시(200g),320,55,7,7
갈비찜(살코기),200g,520,18,36,32
제육볶음(살코기),150g,420,10,25,28
오징어볶음,150g,210,12,20,8
김밥(야채),1줄(200g),350,60,10,8
충무김밥,1인분(250g),400,70,12,7
쌀국수(닭),1그릇(500g),430,80,20,6
냉면(물),1그릇(550g),450,90,12,6
칼국수,1그릇(500g),500,95,15,6
떡국,1그릇(500g),520,92,12,10
순대국(밥X),1그릇(500g),350,6,25,24
양배추,생 100g,25,6,1,0
오이,생 100g,15,4,1,0
토마토,중간 1개(150g),30,7,1,0
방울토마토,10개(150g),30,7,1,0
파프리카,생 100g,31,6,1,0
브로콜리,찐 100g,35,7,3,0
아스파라거스,찐 100g,25,5,2,0
가지,구운 100g,60,8,1,3
상추,100g,16,3,1,0
깻잎,20장(40g),30,5,3,0
사과,중간 1개(180g),95,25,0,0
배,중간 1개(250g),120,31,1,0
바나나,중간 1개(120g),105,27,1,0
딸기,10개(150g),50,12,1,0
귤,2개(150g),60,15,1,0
블루베리,1컵(140g),80,20,1,0
키위,1개(100g),60,15,1,0
포도,한줌(100g),70,18,1,0
자두,2개(130g),60,15,1,0
저지방우유(1%),200ml,90,10,7,3
무지방우유,200ml,70,10,7,0
플레인요거트,150g,95,12,6,3
아몬드우유(무가당),200ml,40,2,1,3
아몬드,한줌(28g),160,6,6,14
호두,한줌(28g),185,4,4,18
땅콩,한줌(28g),165,6,7,14
해바라기씨,28g,160,6,6,14
치아씨드,20g,100,8,3,6
아메리카노,355ml,5,0,0,0
"라떼(저지방, 무가당)",355ml,120,12,8,4
두유(가당),200ml,120,16,7,4
식혜,1캔(240ml),120,30,0,0
제로콜라,355ml,0,0,0,0
고구마말랭이,40g,140,33,1,0
에너지바,1개(40g),170,25,5,5
현미과자,20g,80,17,1,0
김스낵,20g,90,8,2,6
감자칩(구운),30g,160,15,2,10
팝콘(에어팝),3컵(24g),90,18,3,1
떡볶이,1인분(300g),550,110,9,8
순대,200g,350,30,14,18
어묵탕,1그릇(300g),200,18,12,8
"치킨(구운, 닭다리 2조각)",200g,350,0,32,23
"피자(치즈, 얇은도우)",1조각(100g),270,30,12,10
햄버거(기본),1개(200g),450,45,20,20
라면(건더기 포함),1봉(120g),500,80,10,16
우동,1그릇(500g),460,90,12,5
샌드위치(치킨),1개(200g),420,45,20,15
올리브오일,1큰술(15g),120,0,0,14
들기름,1큰술(15g),120,0,0,14
고추장,1큰술(20g),45,10,1,0
된장,1큰술(20g),35,5,3,1
케첩,1큰술(15g),15,4,0,0
마요네즈(라이트),1큰술(15g),60,1,0,6
치킨샐러드(드레싱소량),1그릇(250g),280,12,28,12
연어샐러드,1그릇(250g),320,10,25,18
두부샐러드,1그릇(250g),250,16,18,12
계란스크램블,2개분(120g),160,2,12,11
현미죽,1그릇(300g),210,44,5,2
채소오믈렛,1접시(200g),220,7,15,14
바나나오트팬케이크,2장(150g),260,45,10,5
미역샐러드,1접시(150g),60,10,3,1
곤약면,200g,20,4,0,0
두부면,200g,180,8,20,8
